_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-3.2,C0220615,M1,1,0,DisGeNET,35,Adult Acute Myeloblastic Leukemia,,-3.2,18,7,30337,160,31,3,9.7,5.3,1956|4363|9577,EGFR|ABCC1|BABAM2,-0.32,0
1,-3.2,C0021655,M1,1,0,DisGeNET,35,Insulin Resistance,,-3.2,18,7,30337,162,31,3,9.7,5.3,1956|6934|7018,EGFR|TCF7L2|TF,-0.32,0
1,-3.2,C2677123,M1,1,0,DisGeNET,35,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 3",,-3.2,18,6.9,30337,165,31,3,9.7,5.3,688|1902|6934,KLF5|LPAR1|TCF7L2,-0.32,0
1,-3.2,C0235874,M1,1,0,DisGeNET,35,Disease Exacerbation,,-3.2,18,6.9,30337,166,31,3,9.7,5.3,1956|4363|57610,EGFR|ABCC1|RANBP10,-0.32,0
1,-3.2,C1837315,M1,1,0,DisGeNET,35,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 1",,-3.2,18,6.9,30337,166,31,3,9.7,5.3,688|1902|6934,KLF5|LPAR1|TCF7L2,-0.32,0
1,-3.2,C2675481,M1,1,0,DisGeNET,35,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 10",,-3.2,18,6.9,30337,166,31,3,9.7,5.3,688|1902|6934,KLF5|LPAR1|TCF7L2,-0.32,0
1,-3.2,C3554460,M1,1,0,DisGeNET,35,"COLORECTAL CANCER, SUSCEPTIBILITY TO, 12",,-3.2,18,6.9,30337,166,31,3,9.7,5.3,688|1902|6934,KLF5|LPAR1|TCF7L2,-0.32,0
1,-3.2,C1519689,M1,1,0,DisGeNET,35,Tumor Promotion,,-3.2,17,6.8,30337,170,31,3,9.7,5.3,688|1956|9577,KLF5|EGFR|BABAM2,-0.3,0
1,-3.2,C1739135,M1,1,0,DisGeNET,35,Progression of prostate cancer,,-3.2,9.8,5.7,30337,398,31,4,13,6,688|1902|1956|1958,KLF5|LPAR1|EGFR|EGR1,-0.3,0
1,-3.1,C0346629,M1,1,0,DisGeNET,35,Malignant neoplasm of large intestine,,-3.1,17,6.7,30337,173,31,3,9.7,5.3,688|1902|6934,KLF5|LPAR1|TCF7L2,-0.3,0
1,-3.1,C0035455,M1,1,0,DisGeNET,35,Rhinitis,,-3.1,17,6.7,30337,177,31,3,9.7,5.3,1956|54882|404734,EGFR|ANKHD1|ANKHD1-EIF4EBP3,-0.3,0
1,-3.1,C0019193,M1,1,0,DisGeNET,35,"Hepatitis, Toxic",,-3.1,9.5,5.6,30337,412,31,4,13,6,4363|5034|7018|57017,ABCC1|P4HB|TF|COQ9,-0.3,0
1,-3.1,C4279912,M1,1,0,DisGeNET,35,Chemically-Induced Liver Toxicity,,-3.1,9.5,5.6,30337,412,31,4,13,6,4363|5034|7018|57017,ABCC1|P4HB|TF|COQ9,-0.3,0
1,-3.1,C3658290,M1,1,0,DisGeNET,35,Drug-Induced Acute Liver Injury,,-3.1,9.5,5.5,30337,413,31,4,13,6,4363|5034|7018|57017,ABCC1|P4HB|TF|COQ9,-0.3,0
1,-3.1,C1262760,M1,1,0,DisGeNET,35,"Hepatitis, Drug-Induced",,-3.1,9.4,5.5,30337,418,31,4,13,6,4363|5034|7018|57017,ABCC1|P4HB|TF|COQ9,-0.29,0
1,-3.1,C0021841,M1,1,0,DisGeNET,35,Intestinal Neoplasms,,-3.1,16,6.5,30337,182,31,3,9.7,5.3,688|1956|6934,KLF5|EGFR|TCF7L2,-0.29,0
1,-3.1,C0016059,M1,1,0,DisGeNET,35,Fibrosis,,-3.1,16,6.5,30337,184,31,3,9.7,5.3,1956|1958|5322,EGFR|EGR1|PLA2G5,-0.29,0
1,-3.1,C0677936,M1,1,0,DisGeNET,35,Refractory cancer,,-3.1,16,6.5,30337,184,31,3,9.7,5.3,1956|4363|5034,EGFR|ABCC1|P4HB,-0.29,0
1,-3,C0026936,M1,1,0,DisGeNET,35,Mycoplasma Infections,,-3,16,6.4,30337,188,31,3,9.7,5.3,1956|3184|10002,EGFR|HNRNPD|NR2E3,-0.28,0
1,-3,C4722099,M1,1,0,DisGeNET,35,High grade glioma,,-3,15,6.4,30337,190,31,3,9.7,5.3,1956|1958|6934,EGFR|EGR1|TCF7L2,-0.28,0
1,-3,C0278876,M1,1,0,DisGeNET,35,Adult Medulloblastoma,,-3,6.4,4.8,30337,762,31,5,16,6.6,1956|4363|6934|7018|8358,EGFR|ABCC1|TCF7L2|TF|H3C2,-0.28,0
1,-3,C0278510,M1,1,0,DisGeNET,35,Childhood Medulloblastoma,,-3,6.3,4.8,30337,771,31,5,16,6.6,1956|4363|6934|7018|8358,EGFR|ABCC1|TCF7L2|TF|H3C2,-0.27,0
1,-3,C0278660,M1,1,0,DisGeNET,35,Adult Synovial Sarcoma,,-3,15,6.2,30337,198,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,-0.26,0
1,-3,C0279982,M1,1,0,DisGeNET,35,Childhood Synovial Sarcoma,,-3,15,6.2,30337,198,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,-0.26,0
1,-3,C1302401,M1,1,0,DisGeNET,35,Adenoma of large intestine,,-3,8.7,5.2,30337,452,31,4,13,6,688|1902|1956|6934,KLF5|LPAR1|EGFR|TCF7L2,-0.26,0
1,-3,C0278701,M1,1,0,DisGeNET,35,Gastric Adenocarcinoma,,-3,8.6,5.2,30337,453,31,4,13,6,688|1956|4363|6185,KLF5|EGFR|ABCC1|RPN2,-0.26,0
1,-2.9,C0035344,M1,1,0,DisGeNET,35,Retinopathy of Prematurity,,-2.9,15,6.2,30337,202,31,3,9.7,5.3,1902|54882|404734,LPAR1|ANKHD1|ANKHD1-EIF4EBP3,-0.26,0
1,-2.9,C0276447,M1,1,0,DisGeNET,35,Rhinovirus infection,,-2.9,15,6.2,30337,202,31,3,9.7,5.3,1956|3184|6421,EGFR|HNRNPD|SFPQ,-0.26,0
1,-2.9,C4277682,M1,1,0,DisGeNET,35,Chemical and Drug Induced Liver Injury,,-2.9,8.5,5.2,30337,461,31,4,13,6,4363|5034|7018|57017,ABCC1|P4HB|TF|COQ9,-0.26,0
1,-2.9,C0040420,M1,1,0,DisGeNET,35,Tonometry,,-2.9,14,6.1,30337,206,31,3,9.7,5.3,688|6934|9577,KLF5|TCF7L2|BABAM2,-0.26,0
1,-2.8,C0202117,M1,1,0,DisGeNET,35,Low density lipoprotein cholesterol measurement,,-2.8,8.1,5,30337,483,31,4,13,6,5322|6934|7018|55183,PLA2G5|TCF7L2|TF|RIF1,-0.21,0
1,-2.8,C0079772,M1,1,0,DisGeNET,35,T-Cell Lymphoma,,-2.8,8.1,5,30337,485,31,4,13,6,1956|1958|4363|7018,EGFR|EGR1|ABCC1|TF,-0.21,0
1,-2.8,C1445957,M1,1,0,DisGeNET,35,Serum total cholesterol measurement,,-2.8,8.1,5,30337,486,31,4,13,6,1902|4363|5322|6934,LPAR1|ABCC1|PLA2G5|TCF7L2,-0.21,0
1,-2.8,C0205696,M1,1,0,DisGeNET,35,Anaplastic carcinoma,,-2.8,13,5.7,30337,232,31,3,9.7,5.3,1902|1956|7018,LPAR1|EGFR|TF,-0.15,0
1,-2.8,C2938924,M1,1,0,DisGeNET,35,Oestrogen receptor positive breast cancer,,-2.8,7.7,4.9,30337,510,31,4,13,6,688|1956|6934|10002,KLF5|EGFR|TCF7L2|NR2E3,-0.15,0
1,-2.7,C0238198,M1,1,0,DisGeNET,35,Gastrointestinal Stromal Tumors,,-2.7,7.3,4.7,30337,538,31,4,13,6,688|1956|4363|8358,KLF5|EGFR|ABCC1|H3C2,-0.093,0
1,-2.7,C0392885,M1,1,0,DisGeNET,35,High density lipoprotein measurement,,-2.7,7.2,4.7,30337,545,31,4,13,6,3587|4154|6934|57610,IL10RA|MBNL1|TCF7L2|RANBP10,-0.081,0
1,-2.7,C0018939,M1,1,0,DisGeNET,35,Hematological Disease,,-2.7,12,5.4,30337,255,31,3,9.7,5.3,1956|1958|8880,EGFR|EGR1|FUBP1,-0.081,0
1,-2.6,C0018081,M1,1,0,DisGeNET,35,Gonorrhea,,-2.6,11,5.3,30337,261,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,-0.057,0
1,-2.6,C0202239,M1,1,0,DisGeNET,35,Uric acid measurement (procedure),,-2.6,11,5.3,30337,264,31,3,9.7,5.3,6934|8358|9577,TCF7L2|H3C2|BABAM2,-0.053,0
1,-2.6,C0022578,M1,1,0,DisGeNET,35,Keratoconus,,-2.6,11,5.2,30337,269,31,3,9.7,5.3,7018|10002|79623,TF|NR2E3|GALNT14,-0.044,0
1,-2.6,C0751396,M1,1,0,DisGeNET,35,Well Differentiated Oligodendroglioma,,-2.6,11,5.2,30337,270,31,3,9.7,5.3,1956|8358|8880,EGFR|H3C2|FUBP1,-0.044,0
1,-2.5,C0020550,M1,1,0,DisGeNET,35,Hyperthyroidism,,-2.5,11,5.1,30337,278,31,3,9.7,5.3,1956|1958|57017,EGFR|EGR1|COQ9,-0.028,0
1,-2.5,C0162871,M1,1,0,DisGeNET,35,"Aortic Aneurysm, Abdominal",,-2.5,6.7,4.4,30337,585,31,4,13,6,688|1325|1956|1958,KLF5|CORT|EGFR|EGR1,-0.028,0
1,-2.5,C0028945,M1,1,0,DisGeNET,35,oligodendroglioma,,-2.5,10,5.1,30337,282,31,3,9.7,5.3,1956|8358|8880,EGFR|H3C2|FUBP1,-0.017,0
1,-2.5,C0374997,M1,1,0,DisGeNET,35,Helicobacter pylori (H. pylori) infection in conditions classified elsewhere and of unspecified site,,-2.5,6.6,4.4,30337,593,31,4,13,6,688|1956|1958|4363,KLF5|EGFR|EGR1|ABCC1,-0.017,0
1,-2.5,C0017152,M1,1,0,DisGeNET,35,Gastritis,,-2.5,10,5,30337,292,31,3,9.7,5.3,688|1956|4363,KLF5|EGFR|ABCC1,0,0
1,-2.5,C0153633,M1,1,0,DisGeNET,35,Malignant neoplasm of brain,,-2.5,10,5,30337,294,31,3,9.7,5.3,1956|5034|7018,EGFR|P4HB|TF,0,0
1,-2.5,C4086152,M1,1,0,DisGeNET,35,Childhood Astrocytoma,,-2.5,6.4,4.3,30337,615,31,4,13,6,1956|1958|4363|6934,EGFR|EGR1|ABCC1|TCF7L2,0,0
1,-2.5,C0004623,M1,1,0,DisGeNET,35,Bacterial Infections,,-2.5,6.4,4.3,30337,616,31,4,13,6,1956|5034|7018|10002,EGFR|P4HB|TF|NR2E3,0,0
1,-2.5,C0039101,M1,1,0,DisGeNET,35,synovial sarcoma,,-2.5,9.8,4.9,30337,299,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,0,0
1,-2.5,C0020459,M1,1,0,DisGeNET,35,Hyperinsulinism,,-2.5,6.3,4.3,30337,620,31,4,13,6,688|1958|6934|10002,KLF5|EGR1|TCF7L2|NR2E3,0,0
1,-2.4,C0085669,M1,1,0,DisGeNET,35,Acute leukemia,,-2.4,6.1,4.2,30337,639,31,4,13,6,1956|4363|7018|54882,EGFR|ABCC1|TF|ANKHD1,0,0
1,-2.4,C0011884,M1,1,0,DisGeNET,35,Diabetic Retinopathy,,-2.4,6.1,4.2,30337,644,31,4,13,6,1325|1956|6934|7378,CORT|EGFR|TCF7L2|UPP1,0,0
1,-2.3,C1328504,M1,1,0,DisGeNET,35,Hormone refractory prostate cancer,,-2.3,5.7,4,30337,683,31,4,13,6,688|1956|1958|6421,KLF5|EGFR|EGR1|SFPQ,0,0
1,-2.3,C0158266,M1,1,0,DisGeNET,35,Intervertebral Disc Degeneration,,-2.3,8.6,4.5,30337,342,31,3,9.7,5.3,688|1956|6934,KLF5|EGFR|TCF7L2,0,0
1,-2.3,C1318485,M1,1,0,DisGeNET,35,Liver regeneration disorder,,-2.3,8.5,4.5,30337,346,31,3,9.7,5.3,688|1956|1958,KLF5|EGFR|EGR1,0,0
1,-2.3,C3714636,M1,1,0,DisGeNET,35,Pneumonitis,,-2.3,5.6,3.9,30337,696,31,4,13,6,1956|1958|5034|5322,EGFR|EGR1|P4HB|PLA2G5,0,0
1,-2.3,C0024115,M1,1,0,DisGeNET,35,Lung diseases,,-2.3,5.6,3.9,30337,700,31,4,13,6,1902|1956|1958|4363,LPAR1|EGFR|EGR1|ABCC1,0,0
1,-2.2,C0007786,M1,1,0,DisGeNET,35,Brain Ischemia,,-2.2,8.2,4.4,30337,358,31,3,9.7,5.3,1958|5034|7018,EGR1|P4HB|TF,0,0
1,-2.2,C0011311,M1,1,0,DisGeNET,35,Dengue Fever,,-2.2,8.2,4.4,30337,360,31,3,9.7,5.3,1956|5034|6934,EGFR|P4HB|TCF7L2,0,0
1,-2.2,C0220605,M1,1,0,DisGeNET,35,Adult Non-Hodgkin Lymphoma,,-2.2,7.9,4.3,30337,370,31,3,9.7,5.3,3587|4363|8994,IL10RA|ABCC1|LIMD1,0,0
1,-2.2,C0220612,M1,1,0,DisGeNET,35,Childhood Non-Hodgkin Lymphoma,,-2.2,7.9,4.3,30337,371,31,3,9.7,5.3,3587|4363|8994,IL10RA|ABCC1|LIMD1,0,0
1,-2.2,C0279671,M1,1,0,DisGeNET,35,Cervical Squamous Cell Carcinoma,,-2.2,7.9,4.3,30337,371,31,3,9.7,5.3,688|1956|3587,KLF5|EGFR|IL10RA,0,0
1,-2.2,C0339573,M1,1,0,DisGeNET,35,"Glaucoma, Primary Open Angle",,-2.2,7.7,4.2,30337,382,31,3,9.7,5.3,1956|1958|6185,EGFR|EGR1|RPN2,0,0
1,-2.2,C0149678,M1,1,0,DisGeNET,35,Epstein-Barr Virus Infections,,-2.2,7.6,4.2,30337,384,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,0,0
1,-2.2,C0151744,M1,1,0,DisGeNET,35,Myocardial Ischemia,,-2.2,5.2,3.7,30337,756,31,4,13,6,1956|1958|5034|6934,EGFR|EGR1|P4HB|TCF7L2,0,0
1,-2.1,C0278595,M1,1,0,DisGeNET,35,Adult Fibrosarcoma,,-2.1,7.6,4.2,30337,387,31,3,9.7,5.3,1956|1958|55183,EGFR|EGR1|RIF1,0,0
1,-2.1,C0015672,M1,1,0,DisGeNET,35,Fatigue,,-2.1,5.2,3.7,30337,759,31,4,13,6,1956|4154|5034|6421,EGFR|MBNL1|P4HB|SFPQ,0,0
1,-2.1,C1704272,M1,1,0,DisGeNET,35,Benign Prostatic Hyperplasia,,-2.1,5.1,3.7,30337,770,31,4,13,6,1902|1956|1958|3587,LPAR1|EGFR|EGR1|IL10RA,0,0
1,-2.1,C4721579,M1,1,0,DisGeNET,35,Secondary malignant neoplasm of colon and/or rectum,,-2.1,7.4,4.1,30337,397,31,3,9.7,5.3,1956|1958|4363,EGFR|EGR1|ABCC1,0,0
1,-2.1,C0015397,M1,1,0,DisGeNET,35,Disorder of eye,,-2.1,7.3,4.1,30337,400,31,3,9.7,5.3,5322|7018|10002,PLA2G5|TF|NR2E3,0,0
1,-2.1,C4528257,M1,1,0,DisGeNET,35,Corpuscular Hemoglobin Concentration Mean,,-2.1,7.3,4.1,30337,401,31,3,9.7,5.3,7018|8358|57610,TF|H3C2|RANBP10,0,0
1,-2.1,C0016057,M1,1,0,DisGeNET,35,Fibrosarcoma,,-2.1,7.1,4,30337,413,31,3,9.7,5.3,1956|1958|55183,EGFR|EGR1|RIF1,0,0
1,-2.1,C0036202,M1,1,0,DisGeNET,35,Sarcoidosis,,-2.1,7.1,4,30337,413,31,3,9.7,5.3,1958|3184|5034,EGR1|HNRNPD|P4HB,0,0
1,-2.1,C0020615,M1,1,0,DisGeNET,35,Hypoglycemia,,-2.1,7,4,30337,420,31,3,9.7,5.3,1956|5034|6934,EGFR|P4HB|TCF7L2,0,0
1,-2.1,C0345967,M1,1,0,DisGeNET,35,Malignant mesothelioma,,-2.1,7,4,30337,420,31,3,9.7,5.3,1956|4363|7018,EGFR|ABCC1|TF,0,0
1,-2,C0685938,M1,1,0,DisGeNET,35,Malignant neoplasm of gastrointestinal tract,,-2,6.9,3.9,30337,423,31,3,9.7,5.3,1956|4363|6934,EGFR|ABCC1|TCF7L2,0,0
1,-2,C3811653,M1,1,0,DisGeNET,35,Experimental Organism Basal Cell Carcinoma,,-2,6.7,3.9,30337,437,31,3,9.7,5.3,1956|6934|79623,EGFR|TCF7L2|GALNT14,0,0
